time(s)	cellId	rnti	lcid	packetSize
0.41801	3	5	3	1530
0.418011	3	6	3	1530
0.418013	3	7	3	1530
0.418014	3	8	3	1530
0.418015	3	9	3	1530
0.418016	3	10	3	1530
0.418018	1	3	3	1530
0.418019	3	11	3	1530
0.41802	1	4	3	1530
0.418021	1	5	3	1530
0.418023	1	6	3	1530
0.418024	3	12	3	1530
0.418025	1	7	3	1530
0.418026	3	18	3	1530
0.418028	3	19	3	1530
0.418029	3	20	3	1530
0.41803	3	21	3	1530
0.418032	3	22	3	1530
0.419003	1	1	3	1530
0.419004	1	2	3	1530
0.419005	3	1	3	1530
0.419006	3	2	3	1530
0.419008	3	3	3	1530
0.419009	3	4	3	1530
0.41901	3	5	3	1530
0.419011	3	6	3	1530
0.419013	3	7	3	1530
0.419014	3	8	3	1530
0.419015	3	9	3	1530
0.419016	3	10	3	1530
0.419018	1	3	3	1530
0.419019	3	11	3	1530
0.41902	1	4	3	1530
0.419021	1	5	3	1530
0.419023	1	6	3	1530
0.419024	3	12	3	1530
0.419025	1	7	3	1530
0.419026	3	18	3	1530
0.419028	3	19	3	1530
0.419029	3	20	3	1530
0.41903	3	21	3	1530
0.419032	3	22	3	1530
0.420003	1	1	3	1530
0.420004	1	2	3	1530
0.420005	3	1	3	1530
0.420006	3	2	3	1530
0.420008	3	3	3	1530
0.420009	3	4	3	1530
0.42001	3	5	3	1530
0.420011	3	6	3	1530
0.420013	3	7	3	1530
0.420014	3	8	3	1530
0.420015	3	9	3	1530
0.420016	3	10	3	1530
0.420018	1	3	3	1530
0.420019	3	11	3	1530
0.42002	1	4	3	1530
0.420021	1	5	3	1530
0.420023	1	6	3	1530
0.420024	3	12	3	1530
0.420025	1	7	3	1530
0.420026	3	18	3	1530
0.420028	3	19	3	1530
0.420029	3	20	3	1530
0.42003	3	21	3	1530
0.420032	3	22	3	1530
0.421003	1	1	3	1530
0.421004	1	2	3	1530
0.421005	3	1	3	1530
0.421006	3	2	3	1530
0.421008	3	3	3	1530
0.421009	3	4	3	1530
0.42101	3	5	3	1530
0.421011	3	6	3	1530
0.421013	3	7	3	1530
0.421014	3	8	3	1530
0.421015	3	9	3	1530
0.421016	3	10	3	1530
0.421018	1	3	3	1530
0.421019	3	11	3	1530
0.42102	1	4	3	1530
0.421021	1	5	3	1530
0.421023	1	6	3	1530
0.421024	3	12	3	1530
0.421025	1	7	3	1530
0.421026	3	18	3	1530
0.421028	3	19	3	1530
0.421029	3	20	3	1530
0.42103	3	21	3	1530
0.421032	3	22	3	1530
