time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.421886	3	8	3	3722	0.00288571
0.421957	3	7	3	4027	0.00295714
0.422029	1	1	3	2803	0.00302856
0.422243	3	22	3	155	0.00224286
0.422314	3	21	3	2588	0.00231428
0.422386	3	20	3	2588	0.00238571
0.422457	1	7	3	4862	0.00245714
0.422457	3	19	3	1078	0.00245714
0.422529	1	6	3	1532	0.00252857
0.422529	3	18	3	2588	0.00252857
0.4226	1	5	3	1532	0.0026
0.4226	3	12	3	2588	0.0026
0.422671	1	4	3	1532	0.00267142
0.422671	3	11	3	2846	0.00267142
0.422743	1	3	3	1532	0.00274285
0.422743	3	10	3	2588	0.00274285
0.422814	1	2	3	1532	0.00281428
0.422814	3	9	3	1749	0.00281428
0.422886	1	1	3	1532	0.00288571
0.422886	3	8	3	3502	0.00288571
0.422957	3	7	3	2588	0.00295714
0.423029	3	6	3	433	0.00302856
0.423243	3	22	3	155	0.00224286
0.423314	1	7	3	1532	0.00231428
0.423314	3	21	3	1532	0.00231428
0.423386	1	6	3	1532	0.00238571
0.423386	3	20	3	1532	0.00238571
0.423457	1	5	3	1532	0.00245714
0.423457	3	19	3	1078	0.00245714
0.423529	1	4	3	1532	0.00252857
0.423529	3	18	3	1532	0.00252857
0.4236	1	3	3	1532	0.0026
0.4236	3	12	3	1532	0.0026
0.423671	1	2	3	1532	0.00267142
0.423671	3	11	3	2846	0.00267142
0.423743	1	1	3	1532	0.00274285
0.423743	3	10	3	1532	0.00274285
0.423814	3	9	3	1749	0.00281428
0.423886	3	8	3	1532	0.00288571
0.423957	3	7	3	1532	0.00295714
0.424029	3	6	3	433	0.00302856
0.424243	3	22	3	155	0.00224286
0.424314	1	7	3	1532	0.00231428
0.424314	3	21	3	1532	0.00231428
0.424386	1	6	3	1532	0.00238571
0.424386	3	20	3	1532	0.00238571
0.424457	1	5	3	1532	0.00245714
0.424529	1	4	3	1532	0.00252857
0.424529	3	18	3	1532	0.00252857
0.4246	1	3	3	1532	0.0026
0.4246	3	12	3	1532	0.0026
0.424671	1	2	3	1532	0.00267142
0.424671	3	11	3	2846	0.00267142
0.424743	1	1	3	1532	0.00274285
0.424743	3	10	3	1532	0.00274285
0.424814	3	9	3	1749	0.00281428
0.424886	3	8	3	1532	0.00288571
0.424957	3	7	3	1532	0.00295714
0.425029	3	6	3	433	0.00302856
0.425243	3	22	3	155	0.00224286
0.425314	1	7	3	1532	0.00231428
0.425314	3	21	3	1532	0.00231428
0.425386	1	6	3	1532	0.00238571
0.425386	3	20	3	1532	0.00238571
0.425457	1	5	3	1532	0.00245714
0.425457	3	19	3	1078	0.00245714
0.425529	1	4	3	1532	0.00252857
0.425529	3	18	3	1532	0.00252857
0.4256	1	3	3	1532	0.0026
0.4256	3	12	3	1532	0.0026
0.425671	1	2	3	1532	0.00267142
0.425743	1	1	3	1532	0.00274285
0.425743	3	10	3	1532	0.00274285
0.425814	3	9	3	1749	0.00281428
0.425886	3	8	3	1532	0.00288571
0.425957	3	7	3	1532	0.00295714
0.426029	3	6	3	433	0.00302856
0.426243	3	22	3	155	0.00224286
0.426314	1	7	3	1532	0.00231428
0.426314	3	21	3	1532	0.00231428
0.426386	1	6	3	1532	0.00238571
0.426386	3	20	3	1532	0.00238571
0.426457	1	5	3	1532	0.00245714
0.426529	1	4	3	1532	0.00252857
0.426529	3	18	3	1532	0.00252857
0.4266	1	3	3	1532	0.0026
0.4266	3	12	3	1532	0.0026
0.426671	1	2	3	1532	0.00267142
0.426743	1	1	3	1532	0.00274285
0.426743	3	10	3	1532	0.00274285
0.426814	3	9	3	1749	0.00281428
0.426886	3	8	3	1532	0.00288571
0.426957	3	7	3	1532	0.00295714
0.427243	3	22	3	155	0.00224286
0.427314	1	7	3	1532	0.00231428
0.427314	3	21	3	1532	0.00231428
0.427386	1	6	3	1532	0.00238571
0.427386	3	20	3	1532	0.00238571
0.427457	1	5	3	1532	0.00245714
0.427529	1	4	3	1532	0.00252857
0.427529	3	18	3	1532	0.00252857
0.4276	1	3	3	1532	0.0026
0.4276	3	12	3	1532	0.0026
0.427671	1	2	3	1532	0.00267142
0.427671	3	11	3	1532	0.00267142
0.427743	1	1	3	1532	0.00274285
0.427743	3	10	3	1532	0.00274285
0.427814	3	9	3	1749	0.00281428
0.427886	3	8	3	1532	0.00288571
0.427957	3	7	3	1532	0.00295714
0.428029	3	6	3	433	0.00302856
0.428243	3	22	3	155	0.00224286
0.428314	1	7	3	1532	0.00231428
0.428314	3	21	3	1532	0.00231428
0.428386	1	6	3	1532	0.00238571
0.428386	3	20	3	1532	0.00238571
0.428457	1	5	3	1532	0.00245714
0.428529	1	4	3	1532	0.00252857
0.428529	3	18	3	1532	0.00252857
0.4286	1	3	3	1532	0.0026
0.4286	3	12	3	1532	0.0026
0.428671	1	2	3	1532	0.00267142
0.428671	3	11	3	1532	0.00267142
0.428743	1	1	3	1532	0.00274285
0.428743	3	10	3	1532	0.00274285
0.428814	3	9	3	1749	0.00281428
0.428886	3	8	3	1532	0.00288571
0.428957	3	7	3	1532	0.00295714
0.429029	3	6	3	3722	0.00302856
0.429314	1	7	3	1532	0.00231428
0.429386	1	6	3	1532	0.00238571
0.429457	1	5	3	1532	0.00245714
0.429529	1	4	3	1532	0.00252857
0.4296	1	3	3	1532	0.0026
0.429671	1	2	3	1532	0.00267142
0.429743	1	1	3	1532	0.00274285
0.430029	3	19	3	1078	0.00802856
0.430314	1	7	3	1532	0.00231428
0.430386	1	6	3	1532	0.00238571
0.430457	1	5	3	1532	0.00245714
0.430529	1	4	3	1532	0.00252857
0.4306	1	3	3	1532	0.0026
0.430671	1	2	3	1532	0.00267142
0.430743	1	1	3	1532	0.00274285
0.431029	3	11	3	2193	0.00802856
0.431314	1	7	3	1532	0.00231428
0.431386	1	6	3	1532	0.00238571
0.431457	1	5	3	1532	0.00245714
0.431529	1	4	3	1532	0.00252857
0.4316	1	3	3	1532	0.0026
0.431671	1	2	3	1532	0.00267142
0.431743	1	1	3	1532	0.00274285
0.432029	3	11	3	1532	0.00802856
0.432029	3	19	3	1078	0.00802856
0.432314	1	7	3	1532	0.00231428
0.432386	1	6	3	1532	0.00238571
0.432457	1	5	3	1532	0.00245714
0.432529	1	4	3	1532	0.00252857
0.4326	1	3	3	1532	0.0026
0.432671	1	2	3	1532	0.00267142
0.432743	1	1	3	1532	0.00274285
0.433029	3	19	3	1078	0.00802856
0.433314	1	7	3	1532	0.00231428
0.433386	1	6	3	1532	0.00238571
0.433457	1	5	3	1532	0.00245714
0.433529	1	4	3	1532	0.00252857
0.4336	1	3	3	1532	0.0026
0.433671	1	2	3	1532	0.00267142
0.433743	1	1	3	1532	0.00274285
0.434029	3	19	3	1078	0.00802856
0.434243	3	22	3	155	0.00224286
0.434314	1	7	3	1532	0.00231428
0.434314	3	21	3	4027	0.00231428
0.434386	1	6	3	1532	0.00238571
0.434386	3	20	3	4027	0.00238571
0.434457	1	5	3	1532	0.00245714
0.434457	3	19	3	873	0.00245714
0.434529	1	4	3	1532	0.00252857
0.434529	3	18	3	4027	0.00252857
0.4346	1	3	3	1532	0.0026
0.4346	3	12	3	4027	0.0026
