time(s)	cellId	rnti	lcid	packetSize
0.41081	3	5	3	1530
0.410811	3	6	3	1530
0.410813	3	7	3	1530
0.410814	3	8	3	1530
0.410815	3	9	3	1530
0.410816	3	10	3	1530
0.410818	1	3	3	1530
0.410819	3	11	3	1530
0.41082	1	4	3	1530
0.410821	1	5	3	1530
0.410823	1	6	3	1530
0.410824	3	12	3	1530
0.410825	1	7	3	1530
0.410826	3	18	3	1530
0.410828	3	19	3	1530
0.410829	3	20	3	1530
0.41083	3	21	3	1530
0.410832	3	22	3	1530
0.410903	1	1	3	1530
0.410904	1	2	3	1530
0.410905	3	1	3	1530
0.410906	3	2	3	1530
0.410908	3	3	3	1530
0.410909	3	4	3	1530
0.41091	3	5	3	1530
0.410911	3	6	3	1530
0.410913	3	7	3	1530
0.410914	3	8	3	1530
0.410915	3	9	3	1530
0.410916	3	10	3	1530
0.410918	1	3	3	1530
0.410919	3	11	3	1530
0.41092	1	4	3	1530
0.410921	1	5	3	1530
0.410923	1	6	3	1530
0.410924	3	12	3	1530
0.410925	1	7	3	1530
0.410926	3	18	3	1530
0.410928	3	19	3	1530
0.410929	3	20	3	1530
0.41093	3	21	3	1530
0.410932	3	22	3	1530
0.411003	1	1	3	1530
0.411004	1	2	3	1530
0.411005	3	1	3	1530
0.411006	3	2	3	1530
0.411008	3	3	3	1530
0.411009	3	4	3	1530
0.41101	3	5	3	1530
0.411011	3	6	3	1530
0.411013	3	7	3	1530
0.411014	3	8	3	1530
0.411015	3	9	3	1530
0.411016	3	10	3	1530
0.411018	1	3	3	1530
0.411019	3	11	3	1530
0.41102	1	4	3	1530
0.411021	1	5	3	1530
0.411023	1	6	3	1530
0.411024	3	12	3	1530
0.411025	1	7	3	1530
0.411026	3	18	3	1530
0.411028	3	19	3	1530
0.411029	3	20	3	1530
0.41103	3	21	3	1530
0.411032	3	22	3	1530
0.411103	1	1	3	1530
0.411104	1	2	3	1530
0.411105	3	1	3	1530
0.411106	3	2	3	1530
0.411108	3	3	3	1530
0.411109	3	4	3	1530
0.41111	3	5	3	1530
0.411111	3	6	3	1530
0.411113	3	7	3	1530
0.411114	3	8	3	1530
0.411115	3	9	3	1530
0.411116	3	10	3	1530
0.411118	1	3	3	1530
0.411119	3	11	3	1530
0.41112	1	4	3	1530
0.411121	1	5	3	1530
0.411123	1	6	3	1530
0.411124	3	12	3	1530
0.411125	1	7	3	1530
0.411126	3	18	3	1530
0.411128	3	19	3	1530
0.411129	3	20	3	1530
0.41113	3	21	3	1530
0.411132	3	22	3	1530
0.411203	1	1	3	1530
0.411204	1	2	3	1530
0.411205	3	1	3	1530
0.411206	3	2	3	1530
0.411208	3	3	3	1530
0.411209	3	4	3	1530
0.41121	3	5	3	1530
0.411211	3	6	3	1530
0.411213	3	7	3	1530
0.411214	3	8	3	1530
0.411215	3	9	3	1530
0.411216	3	10	3	1530
0.411218	1	3	3	1530
0.411219	3	11	3	1530
0.41122	1	4	3	1530
0.411221	1	5	3	1530
0.411223	1	6	3	1530
0.411224	3	12	3	1530
0.411225	1	7	3	1530
0.411226	3	18	3	1530
0.411228	3	19	3	1530
0.411229	3	20	3	1530
0.41123	3	21	3	1530
0.411232	3	22	3	1530
0.411303	1	1	3	1530
0.411304	1	2	3	1530
0.411305	3	1	3	1530
0.411306	3	2	3	1530
0.411308	3	3	3	1530
0.411309	3	4	3	1530
0.41131	3	5	3	1530
0.411311	3	6	3	1530
0.411313	3	7	3	1530
0.411314	3	8	3	1530
0.411315	3	9	3	1530
0.411316	3	10	3	1530
0.411318	1	3	3	1530
0.411319	3	11	3	1530
0.41132	1	4	3	1530
0.411321	1	5	3	1530
0.411323	1	6	3	1530
0.411324	3	12	3	1530
0.411325	1	7	3	1530
0.411326	3	18	3	1530
0.411328	3	19	3	1530
