% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
0.645	1	0	0	26	64	7	0	1	2	11	1	0	0	231
0.647	1	0	0	26	64	9	0	1	1	10	1	0	0	114
1.209	1	0	0	7	121	1	0	1	1	15	1	0	28	4030
1.224	1	0	0	10	122	6	0	1	1	15	1	0	22	2849
1.341	1	0	0	7	134	3	0	1	3	15	1	0	28	12091
1.415	1	0	0	27	141	7	0	1	1	15	1	0	24	3285
1.625	1	0	0	26	162	7	0	1	6	15	1	0	0	700
2.341	1	0	0	7	234	3	0	1	1	15	1	0	26	3725
3.111	1	0	0	21	311	3	0	1	1	15	1	0	0	114
3.112	1	0	0	5	311	4	0	1	1	15	1	0	0	114
3.113	1	0	0	3	311	5	0	1	1	15	1	0	0	114
3.113	1	0	0	12	311	5	0	2	1	15	1	0	0	114
3.113	1	0	0	23	311	5	0	3	1	15	1	0	0	114
3.114	1	0	0	8	311	6	0	1	1	15	1	0	0	114
3.114	1	0	0	24	311	6	0	2	1	15	1	0	0	114
3.115	1	0	0	1	311	7	0	1	1	15	1	0	0	114
3.115	1	0	0	9	311	7	0	2	1	15	1	0	0	114
3.115	1	0	0	11	311	7	0	3	1	15	1	0	0	114
3.116	1	0	0	22	311	8	0	1	1	15	1	0	0	114
3.117	1	0	0	6	311	9	0	1	1	15	1	0	0	114
3.119	1	0	0	2	312	1	0	1	1	15	1	0	0	114
3.119	1	0	0	25	312	1	0	2	1	15	1	0	0	114
3.12	1	0	0	4	312	2	0	1	1	15	1	0	0	114
3.12	1	0	0	28	312	2	0	2	1	15	1	0	0	114
3.224	1	0	0	10	322	6	0	1	6	15	1	0	0	700
3.246	1	0	0	9	324	8	0	1	2	15	1	0	28	8060
3.251	1	0	0	28	325	3	0	1	2	15	1	0	28	8060
3.278	1	0	0	9	328	0	0	1	3	15	1	0	28	12091
3.415	1	0	0	27	341	7	0	1	6	15	1	0	0	700
3.478	1	0	0	9	348	0	0	1	5	15	1	0	4	1389
3.61	1	0	0	9	361	2	0	1	5	15	1	0	4	1389
3.625	1	0	0	26	362	7	0	1	6	15	1	0	0	700
3.641	1	0	0	9	364	3	0	1	1	15	1	0	28	4030
3.673	1	0	0	9	367	5	0	1	1	15	1	0	28	4030
4.341	1	0	0	7	434	3	0	1	6	15	1	0	0	700
