% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
0.163	1	0	0	26	16	7	0	11	1	15	1	0	0	114
0.163	1	0	0	10	16	7	0	12	1	15	1	0	0	114
0.168	1	0	0	10	17	2	0	11	1	15	0	1	0	114
0.168	1	0	0	26	17	2	0	12	1	15	0	1	0	114
0.173	1	0	0	26	17	7	0	11	1	15	0	2	0	114
0.173	1	0	0	10	17	7	0	12	1	15	0	2	0	114
0.178	1	0	0	10	18	2	0	11	1	15	0	3	0	114
0.178	1	0	0	26	18	2	0	12	1	15	0	3	0	114
0.183	1	0	0	10	18	7	0	10	2	15	1	0	0	231
0.183	1	0	0	7	18	7	0	12	1	15	1	0	12	1081
0.184	1	0	0	26	18	8	0	11	2	15	1	0	0	231
0.185	1	0	0	27	18	9	0	12	1	15	1	0	6	436
0.188	1	0	0	10	19	2	0	11	2	15	0	1	0	231
0.189	1	0	0	26	19	3	0	11	2	15	0	1	0	231
0.19	1	0	0	27	19	4	0	11	1	15	0	1	6	436
0.193	1	0	0	10	19	7	0	11	2	15	0	2	0	231
0.194	1	0	0	26	19	8	0	10	2	15	0	2	0	231
0.195	1	0	0	27	19	9	0	12	1	15	1	0	6	436
0.198	1	0	0	10	20	2	0	11	2	15	0	3	0	231
0.21	1	0	0	26	21	4	0	12	1	15	1	0	0	114
0.214	1	0	0	10	21	8	0	11	1	15	1	0	0	114
0.215	1	0	0	7	21	9	0	12	1	15	1	0	13	1228
0.219	1	0	0	10	22	3	0	11	1	15	0	1	0	114
0.22	1	0	0	7	22	4	0	11	1	15	0	1	13	1228
0.224	1	0	0	10	22	8	0	12	1	15	0	2	0	114
0.225	1	0	0	26	22	9	0	11	1	15	1	0	3	216
0.225	1	0	0	7	22	9	0	12	1	15	0	2	13	1228
0.229	1	0	0	10	23	3	0	12	1	15	0	3	0	114
0.23	1	0	0	26	23	4	0	10	2	15	1	0	3	436
0.23	1	0	0	7	23	4	0	12	1	15	0	3	13	1228
0.236	1	0	0	10	24	0	0	12	1	15	1	0	0	114
0.241	1	0	0	10	24	5	0	12	1	15	0	1	0	114
0.242	1	0	0	26	24	6	0	12	1	15	1	0	3	216
0.246	1	0	0	10	25	0	0	12	1	15	0	2	0	114
0.251	1	0	0	10	25	5	0	11	1	15	0	3	0	114
0.256	1	0	0	26	26	0	0	11	1	15	1	0	3	216
0.261	1	0	0	26	26	5	0	11	1	15	0	1	3	216
0.266	1	0	0	26	27	0	0	8	5	15	1	0	2	803
0.274	1	0	0	26	27	8	0	11	1	15	1	0	2	158
0.279	1	0	0	26	28	3	0	9	3	15	1	0	2	480
0.292	1	0	0	26	29	6	0	12	1	15	1	0	2	158
0.298	1	0	0	26	30	2	0	9	4	15	1	0	3	876
0.304	1	0	0	26	30	8	0	8	5	15	1	0	3	1096
0.31	1	0	0	26	31	4	0	12	1	15	1	0	3	216
0.316	1	0	0	26	32	0	0	12	1	15	1	0	4	275
0.321	1	0	0	26	32	5	0	12	1	15	0	1	4	275
0.324	1	0	0	26	32	8	0	12	1	14	1	0	3	216
0.327	1	0	0	27	33	1	0	11	1	15	1	0	6	436
0.327	1	0	0	26	33	1	0	12	1	15	1	0	3	216
0.331	1	0	0	26	33	5	0	11	1	14	1	0	3	216
0.332	1	0	0	27	33	6	0	12	1	15	0	1	6	436
0.333	1	0	0	26	33	7	0	11	2	15	1	0	3	436
0.336	1	0	0	26	34	0	0	8	4	14	1	0	4	1110
0.337	1	0	0	27	34	1	0	12	1	15	0	2	6	436
0.339	1	0	0	26	34	3	0	11	2	15	1	0	4	553
0.342	1	0	0	26	34	6	0	11	1	14	1	0	4	275
0.342	1	0	0	27	34	6	0	12	1	15	0	3	6	436
0.347	1	0	0	26	35	1	0	12	1	14	0	1	4	275
0.348	1	0	0	27	35	2	0	12	1	15	1	0	0	114
0.353	1	0	0	26	35	7	0	11	1	15	1	0	3	216
0.353	1	0	0	27	35	7	0	12	1	15	0	1	0	114
0.359	1	0	0	26	36	3	0	11	1	15	1	0	4	275
0.364	1	0	0	26	36	8	0	12	1	15	1	0	4	275
0.37	1	0	0	26	37	4	0	10	3	15	1	0	4	832
0.374	1	0	0	27	37	8	0	11	1	15	1	0	0	114
0.375	1	0	0	26	37	9	0	10	3	15	0	1	4	832
0.379	1	0	0	27	38	3	0	11	1	15	0	1	0	114
0.381	1	0	0	26	38	5	0	12	1	15	1	0	3	216
0.384	1	0	0	27	38	8	0	9	4	15	1	0	0	466
0.387	1	0	0	26	39	1	0	9	4	15	1	0	3	876
0.389	1	0	0	27	39	3	0	9	4	15	0	1	0	466
0.396	1	0	0	26	40	0	0	12	1	15	1	0	4	275
0.407	1	0	0	26	41	1	0	12	1	15	1	0	4	275
0.413	1	0	0	26	41	7	0	12	1	15	1	0	4	275
0.415	1	0	0	27	41	9	0	12	1	15	1	0	0	114
0.419	1	0	0	26	42	3	0	12	1	15	1	0	3	216
0.42	1	0	0	27	42	4	0	12	1	15	0	1	0	114
0.425	1	0	0	26	42	9	0	11	1	15	1	0	5	348
0.425	1	0	0	27	42	9	0	12	1	15	0	2	0	114
0.427	1	0	0	27	43	1	0	12	1	14	1	0	0	114
0.43	1	0	0	26	43	4	0	10	1	15	1	0	5	348
0.43	1	0	0	27	43	4	0	11	1	15	0	3	0	114
0.432	1	0	0	27	43	6	0	11	1	14	0	1	0	114
0.437	1	0	0	27	44	1	0	12	1	14	0	2	0	114
0.439	1	0	0	26	44	3	0	11	1	15	1	0	6	436
0.442	1	0	0	27	44	6	0	12	1	14	0	3	0	114
0.444	1	0	0	26	44	8	0	12	1	15	0	1	6	436
0.45	1	0	0	26	45	4	0	10	3	15	1	0	4	832
0.456	1	0	0	26	46	0	0	12	1	15	1	0	5	348
0.462	1	0	0	26	46	6	0	10	3	15	1	0	5	1052
0.476	1	0	0	26	48	0	0	12	1	15	1	0	4	275
0.482	1	0	0	26	48	6	0	12	1	15	1	0	6	436
0.487	1	0	0	26	49	1	0	12	1	15	0	1	6	436
0.493	1	0	0	26	49	7	0	11	2	15	1	0	5	700
0.508	1	0	0	26	51	2	0	12	1	15	1	0	5	348
0.519	1	0	0	26	52	3	0	11	1	15	1	0	6	436
0.525	1	0	0	26	52	9	0	12	1	15	1	0	5	348
0.53	1	0	0	26	53	4	0	12	1	15	0	1	5	348
0.536	1	0	0	26	54	0	0	12	1	15	1	0	4	275
0.542	1	0	0	26	54	6	0	12	1	15	1	0	4	275
0.55	1	0	0	26	55	4	0	12	1	15	1	0	4	275
0.556	1	0	0	26	56	0	0	12	1	15	1	0	4	275
0.562	1	0	0	26	56	6	0	12	1	15	1	0	3	216
0.568	1	0	0	26	57	2	0	10	3	15	1	0	4	832
0.574	1	0	0	26	57	8	0	11	1	15	1	0	5	348
0.582	1	0	0	26	58	6	0	12	1	15	1	0	5	348
0.588	1	0	0	26	59	2	0	12	1	15	1	0	5	348
0.594	1	0	0	26	59	8	0	11	1	15	1	0	5	348
0.6	1	0	0	26	60	4	0	11	1	15	1	0	5	348
0.605	1	0	0	26	60	9	0	12	1	15	1	0	5	348
0.61	1	0	0	26	61	4	0	12	1	15	0	1	5	348
0.615	1	0	0	26	61	9	0	12	1	15	0	2	5	348
0.62	1	0	0	26	62	4	0	11	1	15	0	3	5	348
0.744	1	0	0	26	74	8	0	12	1	15	1	0	0	114
0.749	1	0	0	26	75	3	0	12	1	15	0	1	0	114
0.754	1	0	0	26	75	8	0	11	1	15	0	2	0	114
0.759	1	0	0	26	76	3	0	11	1	15	0	3	0	114
1.215	1	0	0	7	121	9	0	12	1	15	1	0	0	114
1.353	1	0	0	7	135	7	0	12	1	15	1	0	4	275
1.358	1	0	0	7	136	2	0	12	1	15	0	1	4	275
1.363	1	0	0	7	136	7	0	12	1	15	0	2	4	275
1.368	1	0	0	7	137	2	0	12	1	15	0	3	4	275
1.631	1	0	0	26	163	5	0	12	1	15	1	0	0	114
