Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
0.03	1	0	5	-160.548
0.03	1	0	6	-120.242
0.03	1	0	7	-86.1028
0.03	1	0	8	-94.9505
0.03	1	0	9	-105.263
0.03	1	0	10	-107.028
0.03	1	0	11	-165.548
0.03	1	0	12	-142.175
0.03	1	0	13	-95.7897
0.03	1	0	14	-150.732
0.03	1	0	15	-179.789
0.03	1	0	16	-142.311
0.03	1	0	17	-117.988
0.03	1	0	18	-114.96
0.03	1	0	19	-91.6661
0.03	1	0	20	-162.937
0.032	1	0	1	-128.999
0.032	1	0	2	-130.87
0.032	1	0	3	-104.938
0.032	1	0	4	-97.1338
0.032	1	0	5	-160.494
0.032	1	0	6	-120.459
0.032	1	0	7	-86.0262
0.032	1	0	8	-94.9433
0.032	1	0	9	-105.157
0.032	1	0	10	-106.922
0.032	1	0	11	-165.334
0.032	1	0	12	-142.039
0.032	1	0	13	-95.7809
0.032	1	0	14	-150.699
0.032	1	0	15	-179.62
0.032	1	0	16	-142.073
0.032	1	0	17	-117.844
0.032	1	0	18	-114.482
0.032	1	0	19	-91.7844
0.032	1	0	20	-162.774
0.034	1	0	1	-128.53
0.034	1	0	2	-130.713
0.034	1	0	3	-105.093
0.034	1	0	4	-97.2784
0.034	1	0	5	-159.957
0.034	1	0	6	-120.275
0.034	1	0	7	-86.1153
0.034	1	0	8	-95.0169
0.034	1	0	9	-105.232
0.034	1	0	10	-106.796
0.034	1	0	11	-165.291
0.034	1	0	12	-141.747
0.034	1	0	13	-96.0703
0.034	1	0	14	-150.577
0.034	1	0	15	-179.84
0.034	1	0	16	-142.318
0.034	1	0	17	-117.645
0.034	1	0	18	-114.466
0.034	1	0	19	-91.9479
0.034	1	0	20	-162.582
0.035	1	0	1	-128.501
0.035	1	0	2	-130.823
0.035	1	0	3	-105.047
0.035	1	0	4	-97.3877
0.035	1	0	5	-160.02
0.035	1	0	6	-120.038
0.035	1	0	7	-86.1845
0.035	1	0	8	-95.1806
0.035	1	0	9	-105.101
0.035	1	0	10	-106.853
0.035	1	0	11	-165.341
0.035	1	0	12	-141.638
0.035	1	0	13	-95.8042
0.035	1	0	14	-150.777
0.035	1	0	15	-179.666
0.035	1	0	16	-142.226
0.035	1	0	17	-117.432
0.035	1	0	18	-114.504
0.035	1	0	19	-92.0934
0.035	1	0	20	-162.746
0.036	1	0	1	-128.544
0.036	1	0	2	-130.648
0.036	1	0	3	-105.199
0.036	1	0	4	-97.4305
0.036	1	0	5	-160.167
0.036	1	0	6	-119.811
0.036	1	0	7	-86.0609
0.036	1	0	8	-95.1858
0.036	1	0	9	-104.94
0.036	1	0	10	-106.669
0.036	1	0	11	-165.267
0.036	1	0	12	-141.564
0.036	1	0	13	-95.7357
0.036	1	0	14	-151.108
0.036	1	0	15	-179.711
0.036	1	0	16	-142.286
0.036	1	0	17	-117.391
0.036	1	0	18	-114.571
0.036	1	0	19	-92.1506
0.036	1	0	20	-162.772
0.04	1	0	1	-128.478
0.04	1	0	2	-130.892
0.04	1	0	3	-105.022
0.04	1	0	4	-97.9626
0.04	1	0	5	-160.467
0.04	1	0	6	-119.411
0.04	1	0	7	-86.1218
0.04	1	0	8	-95.3135
0.04	1	0	9	-104.953
0.04	1	0	10	-106.872
0.04	1	0	11	-165.827
0.04	1	0	12	-141.503
0.04	1	0	13	-96.0365
0.04	1	0	14	-151.98
0.04	1	0	15	-179.418
0.04	1	0	16	-142.336
0.04	1	0	17	-118.025
0.04	1	0	18	-114.67
0.04	1	0	19	-91.8455
0.04	1	0	20	-162.606
0.041	1	0	1	-128.322
0.041	1	0	2	-130.856
0.041	1	0	3	-105.084
0.041	1	0	4	-97.9336
0.041	1	0	5	-160.375
0.041	1	0	6	-119.365
0.041	1	0	7	-86.1264
0.041	1	0	8	-95.4685
0.041	1	0	9	-104.898
0.041	1	0	10	-106.884
0.041	1	0	11	-165.807
0.041	1	0	12	-141.52
0.041	1	0	13	-96.2715
0.041	1	0	14	-151.873
0.041	1	0	15	-179.149
0.041	1	0	16	-142.417
0.041	1	0	17	-117.969
0.041	1	0	18	-114.556
0.041	1	0	19	-91.8887
0.041	1	0	20	-162.502
0.042	1	0	1	-128.353
0.042	1	0	2	-130.908
0.042	1	0	3	-105.008
0.042	1	0	4	-98.0647
0.042	1	0	5	-160.236
0.042	1	0	6	-119.295
0.042	1	0	7	-86.1258
0.042	1	0	8	-95.4999
0.042	1	0	9	-104.872
0.042	1	0	10	-106.954
0.042	1	0	11	-165.613
0.042	1	0	12	-141.465
0.042	1	0	13	-96.4168
0.042	1	0	14	-152.08
0.042	1	0	15	-179.164
0.042	1	0	16	-142.743
0.042	1	0	17	-117.647
0.042	1	0	18	-114.677
0.042	1	0	19	-91.603
0.042	1	0	20	-162.327
0.043	1	0	1	-128.285
0.043	1	0	2	-130.828
0.043	1	0	3	-105.162
0.043	1	0	4	-97.6733
0.043	1	0	5	-160.462
0.043	1	0	6	-119.454
0.043	1	0	7	-86.1531
0.043	1	0	8	-95.6107
0.043	1	0	9	-104.751
0.043	1	0	10	-106.952
0.043	1	0	11	-165.845
0.043	1	0	12	-141.432
0.043	1	0	13	-96.5036
0.043	1	0	14	-151.8
0.043	1	0	15	-179.29
0.043	1	0	16	-142.448
0.043	1	0	17	-117.808
0.043	1	0	18	-114.54
0.043	1	0	19	-91.6206
0.043	1	0	20	-162.155
0.045	1	0	1	-128.644
0.045	1	0	2	-131.042
0.045	1	0	3	-104.844
0.045	1	0	4	-97.73
0.045	1	0	5	-160.823
0.045	1	0	6	-119.059
0.045	1	0	7	-86.3982
0.045	1	0	8	-95.5529
0.045	1	0	9	-104.578
0.045	1	0	10	-106.961
0.045	1	0	11	-166.162
0.045	1	0	12	-141.63
0.045	1	0	13	-96.3468
0.045	1	0	14	-151.982
0.045	1	0	15	-178.837
0.045	1	0	16	-142.183
0.045	1	0	17	-118.059
0.045	1	0	18	-114.449
0.045	1	0	19	-91.4377
0.045	1	0	20	-162.14
0.048	1	0	1	-128.669
0.048	1	0	2	-131.218
0.048	1	0	3	-104.954
0.048	1	0	4	-97.5663
0.048	1	0	5	-161.022
0.048	1	0	6	-118.869
0.048	1	0	7	-86.1756
0.048	1	0	8	-95.5027
0.048	1	0	9	-104.595
0.048	1	0	10	-107.083
0.048	1	0	11	-165.952
0.048	1	0	12	-141.766
0.048	1	0	13	-96.4116
0.048	1	0	14	-152.263
0.048	1	0	15	-178.922
0.048	1	0	16	-142.207
0.048	1	0	17	-118.181
0.048	1	0	18	-114.031
0.048	1	0	19	-92
0.048	1	0	20	-162.343
0.05	1	0	1	-128.669
0.05	1	0	2	-131.157
0.05	1	0	3	-104.883
0.05	1	0	4	-97.582
0.05	1	0	5	-161.015
0.05	1	0	6	-118.945
0.05	1	0	7	-86.1974
0.05	1	0	8	-95.4905
0.05	1	0	9	-104.379
0.05	1	0	10	-106.866
0.05	1	0	11	-165.932
0.05	1	0	12	-141.496
0.05	1	0	13	-96.5426
0.05	1	0	14	-152.203
0.05	1	0	15	-178.918
0.05	1	0	16	-142.108
0.05	1	0	17	-118.253
0.05	1	0	18	-113.905
0.05	1	0	19	-92.1914
0.05	1	0	20	-162.513
0.053	1	0	1	-128.148
0.053	1	0	2	-131.163
0.053	1	0	3	-104.822
0.053	1	0	4	-97.3417
0.053	1	0	5	-160.922
0.053	1	0	6	-118.529
0.053	1	0	7	-86.2593
0.053	1	0	8	-95.7081
0.053	1	0	9	-104.47
0.053	1	0	10	-106.944
0.053	1	0	11	-165.84
0.053	1	0	12	-141.534
0.053	1	0	13	-96.6535
0.053	1	0	14	-152.317
0.053	1	0	15	-178.872
0.053	1	0	16	-142.25
0.053	1	0	17	-117.827
0.053	1	0	18	-113.673
0.053	1	0	19	-92.5398
0.053	1	0	20	-162.775
0.055	1	0	1	-128.424
0.055	1	0	2	-131.132
0.055	1	0	3	-104.559
0.055	1	0	4	-97.4831
0.055	1	0	5	-160.714
0.055	1	0	6	-117.976
0.055	1	0	7	-86.3325
0.055	1	0	8	-95.9318
0.055	1	0	9	-104.264
0.055	1	0	10	-106.892
0.055	1	0	11	-165.692
0.055	1	0	12	-141.523
0.055	1	0	13	-96.5594
0.055	1	0	14	-152.363
0.055	1	0	15	-178.494
0.055	1	0	16	-142.031
0.055	1	0	17	-118.049
0.055	1	0	18	-113.364
0.055	1	0	19	-92.4363
0.055	1	0	20	-163.026
0.056	1	0	1	-128.421
0.056	1	0	2	-131.385
0.056	1	0	3	-104.51
0.056	1	0	4	-97.6298
0.056	1	0	5	-160.838
0.056	1	0	6	-118.195
0.056	1	0	7	-86.4563
0.056	1	0	8	-95.9139
0.056	1	0	9	-104.428
0.056	1	0	10	-106.727
0.056	1	0	11	-165.67
0.056	1	0	12	-141.471
0.056	1	0	13	-96.5901
0.056	1	0	14	-152.291
0.056	1	0	15	-178.319
0.056	1	0	16	-141.944
0.056	1	0	17	-117.97
0.056	1	0	18	-113.356
0.056	1	0	19	-92.4556
0.056	1	0	20	-162.917
0.059	1	0	1	-128.514
0.059	1	0	2	-131.275
0.059	1	0	3	-104.395
0.059	1	0	4	-97.7101
0.059	1	0	5	-160.666
0.059	1	0	6	-118.423
0.059	1	0	7	-86.4763
0.059	1	0	8	-96.0885
0.059	1	0	9	-104.133
0.059	1	0	10	-106.599
0.059	1	0	11	-165.796
0.059	1	0	12	-141.673
0.059	1	0	13	-96.3615
0.059	1	0	14	-152.314
0.059	1	0	15	-178.338
0.059	1	0	16	-142.025
0.059	1	0	17	-117.676
0.059	1	0	18	-113.471
0.059	1	0	19	-92.5188
0.059	1	0	20	-162.752
0.06	1	0	1	-128.384
0.06	1	0	2	-131.306
0.06	1	0	3	-104.402
0.06	1	0	4	-97.7962
0.06	1	0	5	-160.786
0.06	1	0	6	-118.42
0.06	1	0	7	-86.3146
0.06	1	0	8	-96.1677
0.06	1	0	9	-104.258
0.06	1	0	10	-106.461
0.06	1	0	11	-165.777
0.06	1	0	12	-141.805
0.06	1	0	13	-96.3909
0.06	1	0	14	-152.4
0.06	1	0	15	-178.457
0.06	1	0	16	-141.814
0.06	1	0	17	-117.771
0.06	1	0	18	-113.437
0.06	1	0	19	-92.6286
0.06	1	0	20	-162.713
0.061	1	0	1	-128.234
0.061	1	0	2	-131.363
0.061	1	0	3	-104.291
0.061	1	0	4	-97.9918
0.061	1	0	5	-160.682
0.061	1	0	6	-118.475
0.061	1	0	7	-86.3009
0.061	1	0	8	-96.2853
0.061	1	0	9	-104.206
0.061	1	0	10	-106.488
0.061	1	0	11	-165.959
0.061	1	0	12	-141.746
0.061	1	0	13	-96.59
0.061	1	0	14	-152.667
0.061	1	0	15	-178.77
0.061	1	0	16	-141.534
0.061	1	0	17	-117.725
0.061	1	0	18	-113.419
0.061	1	0	19	-92.4739
0.061	1	0	20	-162.634
0.062	1	0	1	-128.306
0.062	1	0	2	-131.446
0.062	1	0	3	-104.452
0.062	1	0	4	-97.837
0.062	1	0	5	-160.822
0.062	1	0	6	-118.594
0.062	1	0	7	-86.3739
0.062	1	0	8	-96.405
0.062	1	0	9	-104.27
0.062	1	0	10	-106.637
0.062	1	0	11	-165.897
0.062	1	0	12	-141.655
0.062	1	0	13	-96.4858
0.062	1	0	14	-152.707
0.062	1	0	15	-178.793
0.062	1	0	16	-141.517
0.062	1	0	17	-117.844
0.062	1	0	18	-113.24
0.062	1	0	19	-92.2414
0.062	1	0	20	-162.717
0.065	1	0	1	-128.562
0.065	1	0	2	-131.363
0.065	1	0	3	-104.712
0.065	1	0	4	-97.8177
0.065	1	0	5	-160.683
0.065	1	0	6	-118.658
0.065	1	0	7	-86.5111
0.065	1	0	8	-96.2677
0.065	1	0	9	-104.212
0.065	1	0	10	-106.901
0.065	1	0	11	-165.864
0.065	1	0	12	-141.674
0.065	1	0	13	-96.512
0.065	1	0	14	-152.596
0.065	1	0	15	-178.594
0.065	1	0	16	-141.072
0.065	1	0	17	-117.532
0.065	1	0	18	-113.453
0.065	1	0	19	-92.4421
0.065	1	0	20	-162.249
0.07	1	0	1	-128.498
0.07	1	0	2	-131.861
0.07	1	0	3	-104.785
0.07	1	0	4	-98.0943
0.07	1	0	5	-160.552
0.07	1	0	6	-118.888
0.07	1	0	7	-87.0102
0.07	1	0	8	-96.5482
0.07	1	0	9	-104.377
0.07	1	0	10	-107.06
0.07	1	0	11	-165.684
0.07	1	0	12	-141.763
0.07	1	0	13	-96.2725
0.07	1	0	14	-152.583
0.07	1	0	15	-178.175
0.07	1	0	16	-140.968
0.07	1	0	17	-117.161
0.07	1	0	18	-113.008
0.07	1	0	19	-92.3978
0.07	1	0	20	-162.601
0.075	1	0	1	-128.849
0.075	1	0	2	-131.408
0.075	1	0	3	-104.653
0.075	1	0	4	-98
0.075	1	0	5	-160.671
0.075	1	0	6	-118.831
0.075	1	0	7	-86.9219
0.075	1	0	8	-96.7087
0.075	1	0	9	-104.236
0.075	1	0	10	-106.919
0.075	1	0	11	-166.205
0.075	1	0	12	-143.094
0.075	1	0	13	-95.7573
0.075	1	0	14	-152.65
0.075	1	0	15	-178.029
0.075	1	0	16	-141.383
0.075	1	0	17	-116.443
0.075	1	0	18	-113.555
0.075	1	0	19	-92.4497
0.075	1	0	20	-161.825
0.08	1	0	1	-128.925
0.08	1	0	2	-131.219
0.08	1	0	3	-104.616
0.08	1	0	4	-97.9131
0.08	1	0	5	-160.479
0.08	1	0	6	-118.068
0.08	1	0	7	-87.3376
0.08	1	0	8	-96.8154
0.08	1	0	9	-103.941
0.08	1	0	10	-106.642
0.08	1	0	11	-165.5
0.08	1	0	12	-142.417
0.08	1	0	13	-96.0252
0.08	1	0	14	-152.813
0.08	1	0	15	-177.522
0.08	1	0	16	-140.982
0.08	1	0	17	-116.566
0.08	1	0	18	-113.663
0.08	1	0	19	-92.2651
0.08	1	0	20	-161.636
0.085	1	0	1	-128.434
0.085	1	0	2	-131.516
0.085	1	0	3	-104.555
0.085	1	0	4	-98.5703
0.085	1	0	5	-160.823
0.085	1	0	6	-118.044
0.085	1	0	7	-87.5886
0.085	1	0	8	-96.5271
0.085	1	0	9	-104.169
0.085	1	0	10	-106.286
0.085	1	0	11	-166.027
0.085	1	0	12	-142.522
0.085	1	0	13	-96.6266
0.085	1	0	14	-152.651
0.085	1	0	15	-177.68
0.085	1	0	16	-140.99
0.085	1	0	17	-117.221
0.085	1	0	18	-114.087
0.085	1	0	19	-92.1072
0.085	1	0	20	-160.974
0.087	1	0	1	-128.435
0.087	1	0	2	-131.458
0.087	1	0	3	-104.306
0.087	1	0	4	-98.4735
0.087	1	0	5	-161.046
0.087	1	0	6	-118.242
0.087	1	0	7	-87.5494
0.087	1	0	8	-96.5498
0.087	1	0	9	-104.502
0.087	1	0	10	-106.225
0.087	1	0	11	-165.992
0.087	1	0	12	-142.754
0.087	1	0	13	-96.6952
0.087	1	0	14	-152.444
0.087	1	0	15	-177.892
0.087	1	0	16	-140.796
0.087	1	0	17	-117.025
0.087	1	0	18	-114.133
0.087	1	0	19	-91.7959
0.087	1	0	20	-160.585
0.09	1	0	1	-128.718
0.09	1	0	2	-131.4
0.09	1	0	3	-104.272
0.09	1	0	4	-98.2215
0.09	1	0	5	-161.348
0.09	1	0	6	-118.173
0.09	1	0	7	-87.6623
0.09	1	0	8	-96.7563
0.09	1	0	9	-104.472
0.09	1	0	10	-106.383
0.09	1	0	11	-165.66
0.09	1	0	12	-142.084
0.09	1	0	13	-96.5755
0.09	1	0	14	-152.223
0.09	1	0	15	-177.639
0.09	1	0	16	-140.395
0.09	1	0	17	-116.679
0.09	1	0	18	-113.581
0.09	1	0	19	-91.8338
0.09	1	0	20	-160.29
0.092	1	0	1	-128.925
0.092	1	0	2	-131.46
0.092	1	0	3	-104.404
0.092	1	0	4	-97.7677
0.092	1	0	5	-161.309
0.092	1	0	6	-118.139
0.092	1	0	7	-87.6753
0.092	1	0	8	-96.7967
0.092	1	0	9	-104.525
0.092	1	0	10	-106.699
0.092	1	0	11	-165.778
0.092	1	0	12	-142.316
0.092	1	0	13	-96.6441
0.092	1	0	14	-152.675
0.092	1	0	15	-177.652
0.092	1	0	16	-140.6
0.092	1	0	17	-117.014
0.092	1	0	18	-113.59
0.092	1	0	19	-91.7383
0.092	1	0	20	-160.182
0.093	1	0	1	-128.936
0.093	1	0	2	-131.675
0.093	1	0	3	-104.278
0.093	1	0	4	-97.6605
0.093	1	0	5	-161.242
0.093	1	0	6	-117.99
0.093	1	0	7	-87.6403
0.093	1	0	8	-97.0039
0.093	1	0	9	-104.486
0.093	1	0	10	-106.593
0.093	1	0	11	-166.055
0.093	1	0	12	-142.127
0.093	1	0	13	-96.8232
0.093	1	0	14	-152.638
0.093	1	0	15	-177.755
0.093	1	0	16	-140.506
0.093	1	0	17	-117.068
0.093	1	0	18	-113.557
0.093	1	0	19	-91.5418
0.093	1	0	20	-160.252
0.095	1	0	1	-128.579
0.095	1	0	2	-131.66
0.095	1	0	3	-103.948
0.095	1	0	4	-97.7731
0.095	1	0	5	-161.526
0.095	1	0	6	-117.602
0.095	1	0	7	-87.4646
0.095	1	0	8	-96.8551
0.095	1	0	9	-104.747
0.095	1	0	10	-106.509
0.095	1	0	11	-166.2
0.095	1	0	12	-142
0.095	1	0	13	-96.9543
0.095	1	0	14	-152.613
0.095	1	0	15	-177.864
0.095	1	0	16	-140.415
0.095	1	0	17	-117.299
0.095	1	0	18	-113.734
0.095	1	0	19	-91.7975
0.095	1	0	20	-160.383
0.096	1	0	1	-128.282
0.096	1	0	2	-131.585
0.096	1	0	3	-103.877
0.096	1	0	4	-97.8154
0.096	1	0	5	-161.21
0.096	1	0	6	-117.681
0.096	1	0	7	-87.3368
0.096	1	0	8	-96.8651
0.096	1	0	9	-104.675
0.096	1	0	10	-106.367
0.096	1	0	11	-166.215
0.096	1	0	12	-141.887
0.096	1	0	13	-96.8578
0.096	1	0	14	-152.856
0.096	1	0	15	-177.741
0.096	1	0	16	-140.546
0.096	1	0	17	-117.03
