Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	Harq ID	K1 Delay
0.224929	HARQ FD Txed	22	4	0	1	27	0	15	2
0.225929	HARQ FD Txed	22	5	0	1	27	0	14	2
0.226071	DL DCI Rxed	22	6	0	1	10	0	15	2
0.226929	HARQ FD Txed	22	6	0	1	27	0	13	2
0.227071	DL DCI Rxed	22	7	0	1	27	0	15	2
0.228929	HARQ FD Txed	22	8	0	1	10	0	15	2
0.229929	HARQ FD Txed	22	9	0	1	27	0	15	2
0.231071	DL DCI Rxed	23	1	0	1	10	0	15	2
0.232071	DL DCI Rxed	23	2	0	1	27	0	15	2
0.233929	HARQ FD Txed	23	3	0	1	10	0	15	2
0.234929	HARQ FD Txed	23	4	0	1	27	0	15	2
0.238071	DL DCI Rxed	23	8	0	1	26	0	15	2
0.240929	HARQ FD Txed	24	0	0	1	26	0	15	2
0.252071	DL DCI Rxed	25	2	0	1	26	0	15	2
0.255929	HARQ FD Txed	25	5	0	1	26	0	15	2
0.257071	DL DCI Rxed	25	7	0	1	26	0	14	2
0.259929	HARQ FD Txed	25	9	0	1	26	0	14	2
0.270071	DL DCI Rxed	27	0	0	1	26	0	15	2
0.272929	HARQ FD Txed	27	2	0	1	26	0	15	2
0.288071	DL DCI Rxed	28	8	0	1	26	0	15	2
0.290929	HARQ FD Txed	29	0	0	1	26	0	15	2
0.294071	DL DCI Rxed	29	4	0	1	26	0	15	2
0.296929	HARQ FD Txed	29	6	0	1	26	0	15	2
0.301071	DL DCI Rxed	30	1	0	1	26	0	15	2
0.303929	HARQ FD Txed	30	3	0	1	26	0	15	2
0.306071	DL DCI Rxed	30	6	0	1	26	0	15	2
0.308929	HARQ FD Txed	30	8	0	1	26	0	15	2
0.320071	DL DCI Rxed	32	0	0	1	26	0	15	2
0.322929	HARQ FD Txed	32	2	0	1	26	0	15	2
0.326071	DL DCI Rxed	32	6	0	1	26	0	15	2
0.328929	HARQ FD Txed	32	8	0	1	26	0	15	2
0.332071	DL DCI Rxed	33	2	0	1	26	0	15	2
0.335929	HARQ FD Txed	33	5	0	1	26	0	15	2
0.338071	DL DCI Rxed	33	8	0	1	26	0	15	2
0.340929	HARQ FD Txed	34	0	0	1	26	0	15	2
0.349071	DL DCI Rxed	34	9	0	1	26	0	15	2
0.351929	HARQ FD Txed	35	1	0	1	26	0	15	2
0.352071	DL DCI Rxed	35	2	0	1	26	0	14	2
0.354929	HARQ FD Txed	35	4	0	1	26	0	14	2
0.355071	DL DCI Rxed	35	5	0	1	26	0	15	2
0.357929	HARQ FD Txed	35	7	0	1	26	0	15	2
0.358071	DL DCI Rxed	35	8	0	1	26	0	14	2
0.360929	HARQ FD Txed	36	0	0	1	26	0	14	2
0.361071	DL DCI Rxed	36	1	0	1	26	0	15	2
0.363071	DL DCI Rxed	36	3	0	1	26	0	14	2
0.363929	HARQ FD Txed	36	3	0	1	26	0	15	2
0.365929	HARQ FD Txed	36	5	0	1	26	0	14	2
0.367071	DL DCI Rxed	36	7	0	1	26	0	15	2
0.369929	HARQ FD Txed	36	9	0	1	26	0	15	2
0.370071	DL DCI Rxed	37	0	0	1	27	0	15	2
0.372929	HARQ FD Txed	37	2	0	1	27	0	15	2
0.380071	DL DCI Rxed	38	0	0	1	26	0	15	2
0.381071	DL DCI Rxed	38	1	0	1	27	0	15	2
0.382929	HARQ FD Txed	38	2	0	1	26	0	15	2
0.383929	HARQ FD Txed	38	3	0	1	27	0	15	2
0.386071	DL DCI Rxed	38	6	0	1	26	0	15	2
0.388929	HARQ FD Txed	38	8	0	1	26	0	15	2
0.392071	DL DCI Rxed	39	2	0	1	26	0	15	2
0.394929	HARQ FD Txed	39	4	0	1	26	0	15	2
0.403071	DL DCI Rxed	40	3	0	1	26	0	15	2
0.405929	HARQ FD Txed	40	5	0	1	26	0	15	2
0.406071	DL DCI Rxed	40	6	0	1	27	0	15	2
0.408929	HARQ FD Txed	40	8	0	1	27	0	15	2
0.409071	DL DCI Rxed	40	9	0	1	26	0	15	2
0.411071	DL DCI Rxed	41	1	0	1	27	0	15	2
0.411929	HARQ FD Txed	41	1	0	1	26	0	15	2
0.413929	HARQ FD Txed	41	3	0	1	27	0	15	2
0.415071	DL DCI Rxed	41	5	0	1	26	0	15	2
0.417071	DL DCI Rxed	41	7	0	1	27	0	15	2
0.417929	HARQ FD Txed	41	7	0	1	26	0	15	2
0.419929	HARQ FD Txed	41	9	0	1	27	0	15	2
0.422071	DL DCI Rxed	42	2	0	1	27	0	15	2
0.424071	DL DCI Rxed	42	4	0	1	26	0	15	2
0.424929	HARQ FD Txed	42	4	0	1	27	0	15	2
0.426929	HARQ FD Txed	42	6	0	1	26	0	15	2
0.435071	DL DCI Rxed	43	5	0	1	26	0	15	2
0.437929	HARQ FD Txed	43	7	0	1	26	0	15	2
0.441071	DL DCI Rxed	44	1	0	1	26	0	15	2
0.443929	HARQ FD Txed	44	3	0	1	26	0	15	2
0.447071	DL DCI Rxed	44	7	0	1	26	0	15	2
0.449929	HARQ FD Txed	44	9	0	1	26	0	15	2
0.452071	DL DCI Rxed	45	2	0	1	26	0	15	2
0.454929	HARQ FD Txed	45	4	0	1	26	0	15	2
0.457071	DL DCI Rxed	45	7	0	1	26	0	15	2
0.459929	HARQ FD Txed	45	9	0	1	26	0	15	2
0.472071	DL DCI Rxed	47	2	0	1	26	0	15	2
0.474929	HARQ FD Txed	47	4	0	1	26	0	15	2
0.478071	DL DCI Rxed	47	8	0	1	26	0	15	2
0.480929	HARQ FD Txed	48	0	0	1	26	0	15	2
0.484071	DL DCI Rxed	48	4	0	1	26	0	15	2
0.486929	HARQ FD Txed	48	6	0	1	26	0	15	2
0.490071	DL DCI Rxed	49	0	0	1	26	0	15	2
0.492929	HARQ FD Txed	49	2	0	1	26	0	15	2
0.504071	DL DCI Rxed	50	4	0	1	26	0	15	2
0.506929	HARQ FD Txed	50	6	0	1	26	0	15	2
0.515071	DL DCI Rxed	51	5	0	1	26	0	15	2
0.517929	HARQ FD Txed	51	7	0	1	26	0	15	2
0.521071	DL DCI Rxed	52	1	0	1	26	0	15	2
0.523929	HARQ FD Txed	52	3	0	1	26	0	15	2
0.536071	DL DCI Rxed	53	6	0	1	26	0	15	2
0.538929	HARQ FD Txed	53	8	0	1	26	0	15	2
0.546071	DL DCI Rxed	54	6	0	1	26	0	15	2
0.548929	HARQ FD Txed	54	8	0	1	26	0	15	2
