time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.933457	1	4	3	1532	0.00245714
0.933457	3	20	3	4027	0.00245714
0.933529	1	3	3	1532	0.00252857
0.933529	3	19	3	4027	0.00252857
0.933671	1	1	3	1532	0.00267142
0.933671	3	11	3	3722	0.00267142
0.933743	3	10	3	4027	0.00274285
0.933814	3	9	3	4027	0.00281428
0.933886	3	8	3	4027	0.00288571
0.933957	3	7	3	4027	0.00295714
0.934029	3	6	3	4027	0.00302856
0.934243	1	7	3	1532	0.00224286
0.934243	3	23	3	4027	0.00224286
0.934314	1	6	3	1532	0.00231428
0.934314	3	22	3	4027	0.00231428
0.934386	1	5	3	1532	0.00238571
0.934386	3	21	3	4027	0.00238571
0.934457	1	4	3	1532	0.00245714
0.934457	3	20	3	4027	0.00245714
0.934529	1	3	3	1532	0.00252857
0.934529	3	19	3	4027	0.00252857
0.934671	1	1	3	1532	0.00267142
0.934671	3	11	3	3722	0.00267142
0.934743	3	10	3	4027	0.00274285
0.934814	3	9	3	4027	0.00281428
0.934886	3	8	3	4027	0.00288571
0.934957	3	7	3	4027	0.00295714
0.935029	3	6	3	4027	0.00302856
0.935243	3	23	3	4027	0.00224286
0.935314	3	22	3	4027	0.00231428
0.935386	3	21	3	4027	0.00238571
0.935457	3	20	3	4027	0.00245714
0.935529	3	19	3	4027	0.00252857
0.9356	3	18	3	4027	0.0026
0.935671	3	11	3	4027	0.00267142
0.935743	3	10	3	4027	0.00274285
0.935814	3	9	3	4027	0.00281428
0.935886	3	8	3	4027	0.00288571
0.935957	3	7	3	4027	0.00295714
0.936029	1	3	3	1532	0.00802856
0.936029	3	6	3	4027	0.00302856
0.936243	3	23	3	1710	0.00224286
0.936314	3	22	3	1710	0.00231428
0.936386	3	21	3	1710	0.00238571
0.936457	3	20	3	1710	0.00245714
0.936529	3	19	3	1710	0.00252857
0.936743	3	10	3	1710	0.00274285
0.936814	3	9	3	1710	0.00281428
0.936957	3	7	3	1710	0.00295714
0.937029	1	2	3	1532	0.00802856
0.937029	1	3	3	1532	0.00802856
0.937029	3	6	3	2458	0.00302856
0.937243	1	7	3	4027	0.00224286
0.937243	3	23	3	1532	0.00224286
0.937314	1	6	3	4027	0.00231428
0.937314	3	22	3	1532	0.00231428
0.937386	3	21	3	1532	0.00238571
0.937457	1	5	3	4595	0.00245714
0.937457	3	20	3	1532	0.00245714
0.937529	3	19	3	1532	0.00252857
0.9376	1	4	3	4595	0.0026
0.9376	3	18	3	1532	0.0026
0.937671	3	11	3	1532	0.00267142
0.937743	1	3	3	4595	0.00274285
0.937743	3	10	3	1532	0.00274285
0.937814	3	9	3	1532	0.00281428
0.937957	3	7	3	1532	0.00295714
0.938029	1	1	3	4595	0.00302856
0.938029	3	6	3	1532	0.00302856
0.939029	3	18	3	3722	0.00802856
0.940029	3	18	3	3722	0.00802856
0.940243	1	7	3	4027	0.00224286
0.940243	3	23	3	4027	0.00224286
0.940314	1	6	3	4027	0.00231428
0.940314	3	22	3	4027	0.00231428
0.940386	3	21	3	4027	0.00238571
0.940457	1	5	3	4595	0.00245714
0.940457	3	20	3	4027	0.00245714
0.940529	3	19	3	4027	0.00252857
0.9406	1	4	3	4595	0.0026
0.9406	3	18	3	2846	0.0026
0.940671	3	11	3	4027	0.00267142
0.940743	1	3	3	4595	0.00274285
0.940743	3	10	3	4027	0.00274285
0.940814	3	9	3	4027	0.00281428
0.940886	1	2	3	1283	0.00288571
0.940957	3	7	3	4027	0.00295714
0.941029	1	1	3	4595	0.00302856
0.941029	3	6	3	4027	0.00302856
0.941314	1	6	3	2672	0.00231428
0.941529	1	3	3	1532	0.00252857
0.941957	1	2	3	3851	0.00295714
0.942029	3	8	3	1710	0.00802856
0.942029	3	11	3	2320	0.00802856
0.942029	3	18	3	3419	0.00802856
