Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
0.265	3	0	3	-88.2555
0.27	1	0	2	-116.824
0.27	3	0	3	-88.2555
0.275	1	0	2	-116.824
0.275	3	0	3	-88.2555
0.28	1	0	2	-116.824
0.28	3	0	3	-88.2555
0.285	1	0	2	-116.824
0.285	3	0	3	-88.2555
0.29	1	0	2	-116.824
0.29	3	0	3	-88.2555
0.295	1	0	2	-116.824
0.295	3	0	3	-88.2555
0.296	1	0	2	-116.824
0.3	1	0	2	-116.824
0.3	3	0	3	-88.2555
0.305	1	0	2	-116.824
0.305	3	0	3	-88.2555
0.31	1	0	2	-116.824
0.31	3	0	3	-88.2555
0.315	1	0	2	-116.824
0.315	3	0	3	-88.2555
0.319	3	0	3	-88.2555
0.32	1	0	2	-116.824
0.32	3	0	3	-88.2555
0.325	1	0	2	-116.824
0.325	3	0	3	-88.2555
0.33	1	0	2	-116.824
0.33	3	0	3	-88.2555
0.335	1	0	2	-116.824
0.335	3	0	3	-88.2555
0.34	1	0	2	-116.824
0.34	3	0	3	-88.2555
0.345	1	0	2	-116.824
0.345	3	0	3	-88.2555
0.35	1	0	2	-116.824
0.35	3	0	3	-88.2555
0.355	1	0	2	-116.824
0.355	3	0	3	-88.2555
0.36	1	0	2	-116.824
0.36	3	0	3	-88.2555
0.365	1	0	2	-116.824
0.365	3	0	3	-88.2555
0.37	1	0	2	-116.824
0.37	3	0	3	-88.2555
0.375	1	0	2	-116.824
0.375	3	0	3	-88.2555
0.376	1	0	2	-116.824
0.38	1	0	2	-116.824
0.38	3	0	3	-88.2555
0.385	1	0	2	-116.824
0.385	3	0	3	-88.2555
0.39	1	0	2	-116.824
0.39	3	0	3	-88.2555
0.395	1	0	2	-116.824
0.395	3	0	3	-88.2555
0.399	3	0	3	-88.2555
0.4	1	0	2	-116.824
0.4	3	0	3	-88.2555
0.405	1	0	2	-116.824
0.405	3	0	3	-88.2555
0.41	1	0	2	-116.824
0.41	3	0	3	-88.2555
0.413	1	0	2	-116.824
0.413	3	0	3	-88.2555
0.413071	1	0	2	-116.824
0.413071	3	0	3	-88.2555
0.414	1	0	2	-116.824
0.414	3	0	3	-88.2555
0.414071	1	0	2	-116.824
0.414071	3	0	3	-88.2555
0.415	1	0	2	-116.824
0.415	3	0	3	-88.2555
0.415071	1	0	2	-116.824
0.415071	3	0	3	-88.2555
0.416	1	0	2	-116.824
0.416	3	0	3	-88.2555
0.416071	1	0	2	-116.824
0.416071	3	0	3	-88.2555
0.417	1	0	2	-116.824
0.417	3	0	3	-88.2555
0.417071	1	0	2	-116.824
0.417071	3	0	3	-88.2555
0.418	1	0	2	-116.824
0.418	3	0	3	-88.2555
0.418071	1	0	2	-116.824
0.418071	3	0	3	-88.2555
